1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,City_Rent,Full_Address,Property_Name_Rent,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,"$3,780 ",,,,San Mateo,"2089 Pacific Blvd, San Mateo, CA 94403",MODE,https://www.apartments.com/mode-san-mateo-ca/ve583re/,,,CA,,Apartment,94403
"$2,150 ","$2,370 ",,,,Oakland,"805 N 71st Ave, Oakland, CA 94621",Coliseum Connections,https://www.apartments.com/coliseum-connections-oakland-ca/1n0krn4/,,,CA,,Apartment,94621
"$2,775 ","$3,450 ",,,,Los Angeles,"105 S Fairfax Ave, Los Angeles, CA 90036",THE FAIRFAX,https://www.apartments.com/the-fairfax-los-angeles-ca/dednhbk/,,,CA,"$2,395 ",Apartment,90036
"$1,995 ",,,,,Los Angeles,"1039 S Hobart Blvd, Los Angeles, CA 90006",Lido Apartment Homes,https://www.apartments.com/lido-apartment-homes-los-angeles-ca/ww151nl/,,,CA,,Apartment,90006
"$2,200 ","$2,650 ","$3,860 ",,,Costa Mesa,"125 Baker St E, Costa Mesa, CA 92626",Baker Block,https://www.apartments.com/baker-block-costa-mesa-ca/dzhd6jk/,,,CA,"$1,975 ",Apartment,92626
,,,,,Milpitas,"1828 S Milpitas Blvd, Milpitas, CA 95035",Anton Milpitas 730,https://www.apartments.com/anton-milpitas-730-milpitas-ca/mk51eek/,,,CA,,Apartment,95035
"$2,328 ","$3,190 ","$4,650 ",,,Los Angeles,"354 S Spring St, Los Angeles, CA 90013",HWH Luxury Living,https://www.apartments.com/hwh-luxury-living-los-angeles-ca/qp5npbz/,,,CA,"$2,547 ",Apartment,90013
,"$1,733 ","$2,540 ",,,San Diego,"15095 Via Hondonada, San Diego, CA 92129",The Hills,https://www.apartments.com/the-hills-san-diego-ca/llzmp1g/,,,CA,,Apartment,92129
"$1,601 ","$1,801 ","$2,000 ",,,Fairfield,"3900 Business Center Dr, Fairfield, CA 94534",Verdant at Green Valley,https://www.apartments.com/verdant-at-green-valley-fairfield-ca/hggz820/,,,CA,,Apartment,94534
"$1,900 ","$2,200 ",,,,Van Nuys,"8155 Van Nuys Blvd, Van Nuys, CA 91402",Panorama Tower,https://www.apartments.com/panorama-tower-van-nuys-ca/q4ckk5w/,,,CA,"$1,700 ",Apartment,91402
"$1,440 ","$1,557 ",,,,Fairfield,"713 E Travis Blvd, Fairfield, CA 94533",Dover Park Apartments,https://www.apartments.com/dover-park-apartments-fairfield-ca/bm6j3m8/,,,CA,,Apartment,94533
$995 ,"$1,100 ",,,,Fresno,"373 W Nees Ave, Fresno, CA 93711",Windscape,https://www.apartments.com/windscape-fresno-ca/f79btmt/,,,CA,,Apartment,93711
"$1,680 ","$2,235 ",,,,San Bernardino,"26000 W Lugonia Ave, San Bernardino, CA 92408",The Crossings at Redlands,https://www.apartments.com/the-crossings-at-redlands-san-bernardino-ca/zl42wsx/,,,CA,"$1,425 ",Apartment,92408
"$1,745 ","$1,770 ","$2,460 ",,,Antioch,"600 Wilbur Ave, Antioch, CA 94509",Lakeshore Apartments,https://www.apartments.com/lakeshore-apartments-antioch-ca/q0k2l8y/,,,CA,,Apartment,94509
"$1,765 ","$2,145 ",,,,Walnut Creek,"1357 Creekside Dr, Walnut Creek, CA 94596",Four Seasons Apartments,https://www.apartments.com/four-seasons-apartments-walnut-creek-ca/q5rlysy/,,,CA,"$1,720 ",Apartment,94596
"$2,157 ","$3,038 ",,,,North Hollywood,"5500 Klump Ave, North Hollywood, CA 91601",NOHO 5500,https://www.apartments.com/noho-5500-north-hollywood-ca/c6tjwbe/,,,CA,,Apartment,91601
"$3,995 ",,"$10,495 ",,,Santa Monica,"220 San Vicente Blvd, Santa Monica, CA 90402",San Vicente Tower,https://www.apartments.com/san-vicente-tower-santa-monica-ca/s28yhv6/,,,CA,,Apartment,90402
"$2,230 ","$2,995 ","$3,410 ",,,North Hollywood,"11011 Otsego St, North Hollywood, CA 91601",The Ivy at NOHO,https://www.apartments.com/the-ivy-at-noho-north-hollywood-ca/cc3chff/,,,CA,"$1,903 ",Apartment,91601
"$3,463 ","$3,852 ","$5,758 ",,,Los Angeles,"1010 Wilshire Blvd, Los Angeles, CA 90017",TENTEN WILSHIRE - All Inclusive Living,https://www.apartments.com/tenten-wilshire-all-inclusive-living-los-angeles-ca/337dtrf/,,,CA,"$3,119 ",Apartment,90017
"$2,245 ","$1,320 ",$865 ,$765 ,,Davis,"1580 Jade St, Davis, CA 95616",Sol at West Village,https://www.apartments.com/sol-at-west-village-davis-ca/8ctfry2/,,,CA,,Apartment,95616
"$3,090 ","$4,249 ",,,,Playa Vista,"12760 W Millennium Dr, Playa Vista, CA 90094",Runway at Playa Vista,https://www.apartments.com/runway-at-playa-vista-playa-vista-ca/jdjqt55/,,,CA,"$2,807 ",Apartment,90094
"$2,250 ","$2,730 ","$3,400 ",,,Dublin,"5050 Hacienda Dr, Dublin, CA 94568",Emerald Park,https://www.apartments.com/emerald-park-dublin-ca/7fv01tx/,,,CA,,Apartment,94568
"$1,310 ","$1,525 ","$1,705 ",,,San Bernardino,"1422 E 9th St, San Bernardino, CA 92410",Ascot Park Apartments,https://www.apartments.com/ascot-park-apartments-san-bernardino-ca/z4tmzdz/,,,CA,,Apartment,92410
"$1,975 ","$2,275 ","$3,075 ",,,Ventura,"10896 Telegraph Rd, Ventura, CA 93004",Parklands Apartments,https://www.apartments.com/parklands-apartments-ventura-ca/4e1ys7k/,,,CA,,Apartment,93004
"$1,814 ","$2,025 ","$2,527 ",,,Rancho Cucamonga,"11660 Church St, Rancho Cucamonga, CA 91730",Homecoming At Terra Vista,https://www.apartments.com/homecoming-at-terra-vista-rancho-cucamonga-ca/y5vg07v/,,,CA,,Apartment,91730
"$1,769 ","$2,049 ","$2,310 ","$2,779 ",,Chino,"16250 Homecoming Dr, Chino, CA 91708",Homecoming at The Preserve,https://www.apartments.com/homecoming-at-the-preserve-chino-ca/60dq5nr/,,,CA,,Apartment,91708
"$1,410 ","$1,540 ",,,,San Bernardino,"1930 W College Ave, San Bernardino, CA 92407",Broadstone Apartment Homes,https://www.apartments.com/broadstone-apartment-homes-san-bernardino-ca/y13r95r/,,,CA,,Apartment,92407
